Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lithuania,LTU,8946.88581331942,8465.94329594005,28052.4565243541,28915.5715133533,30870.240539754,33760.62939794,36721.9325501206,40809.9308244235,41491.3281824274,45955.5689507242,50455.9203561357,50783.2564002709
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,European Union,EUU,14969.2464194977,22106.3819536496,37327.1964714175,38512.7825440294,40844.4246351246,42966.6649131709,44965.8311023269,48546.6455343367,47486.2705370788,51885.3914888604,57454.2413197837,58892.3877078122
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Italy,ITA,18667.8785203188,27146.321184003,36383.1448865787,37085.9802319781,40140.5036102244,41770.2838289238,43190.5958275406,46661.9105159611,44435.6434393527,49780.3380006538,56171.5481336644,57651.9855718625
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Germany,DEU,19521.0195953832,27467.7824174767,47938.7968210418,48558.4432970969,51569.9016841198,54110.2536648815,56273.0405627015,59270.7276496985,58685.8726997709,62474.3639990873,67533.0528581721,69027.0945691545
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,France,FRA,17471.6864112423,26001.8796983416,40218.1258637776,40916.10535718,42880.2351355429,44469.1458856805,46381.0590629455,51130.472314058,49481.8044309652,52469.8555057046,56133.7978733612,58167.1444514627
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United Kingdom,GBR,17054.444821826,26529.8521734351,41278.1275079919,42508.2708340719,44082.1164678492,46048.2000506645,47090.4848967293,49911.1566522001,47987.5832915072,50978.9510010202,58392.8553923132,58273.4736972308
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United States,USA,23888.6000088133,36329.9702595751,55304.3155317137,57040.2082136605,58206.6141931841,60322.261424175,63201.0458483768,65604.6815198737,64411.3731779373,71318.3073592183,78035.1753604212,82769.4122114214
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,18227.4171054376,28641.6990434156,47879.5955558233,48910.3324371901,51820.9521305488,55271.5976002662,57233.6231685615,60594.9664001912,62682.2899474389,69652.2330084663,77335.2996121187,73546.8888337114
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sweden,SWE,20381.8091023435,29629.8986478258,46841.4019746739,48785.1551864585,50289.7687144135,51474.1199115161,53122.438677218,57046.4463076951,57489.2657196218,62675.0634508595,66319.8441758424,67024.3608199127
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Finland,FIN,18134.7668028006,26777.1143421587,41547.0984485393,42269.2212218196,44562.4011072069,47234.8528600939,49248.6775395868,52276.1115723994,53296.5792798852,56739.1308987573,61293.0471843923,61574.8681998178
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,7475.93117166932,9422.49706491914,29403.6584494815,29720.5911161676,31947.7769107437,34506.6486942505,37120.9879761679,40586.3784378889,40672.1340402132,44211.5558816244,47761.8680185354,46669.2879876029
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Latvia,LVA,7447.9485287479,7840.88147857358,22973.693280582,24137.87643586,25802.1555784175,27645.8226249653,29817.8047263182,32199.096037709,32741.4207691987,36880.4564610875,39931.6063013618,41384.2516255808
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,,,,,,,,
